news_headline,news_article,news_category
1 mn cybersecurity professionals needed in India by 2020: NASSCOM,"Stanford Center for Professional Development's Advanced Computer Security Program, delivered by Great Learning, helps professionals meet the demand for cybersecurity experts, which would be 1 million in India by 2020, according to NASSCOM. The 6-month online program seeks to deliver industry-relevant skills. The median salary for cybersecurity architects is ₹19.8 LPA according to India Today.",science
Great Learning's PGP-DSE offers dedicated hiring drives,"Great Learning's PG program in Data Science & Engineering helps graduates and early-career professionals become job-ready. The 5-month full-time program offers placement assistance that helps alumni transition to data science roles in MNCs and startups. Upon program completion, learners get a certificate from Great Lakes and can expect an average salary hike of 65%, according to Great Learning.",science
JK Rowling donates $18.8M to research centre named after her mother,"Harry Potter author JK Rowling has donated $18.8 million towards multiple sclerosis research at a centre named after her late mother, Anne Volant Rowling, who died of the disease. The donation will be used for new facilities at the Anne Rowling Clinic in Scotland's University of Edinburgh. The clinic was started after a $12.5-million donation by Rowling in 2010.",science
Using drones to study Amazon rainforest's health: Harvard team,"Harvard University researchers are using specifically-engineered drones to monitor the effects of climate change on the Amazon rainforest's health. Researchers aim to monitor unique chemical signatures emitted by plants species, which change if they are under stress, in varied ecosystems. They began work in 2017 with Amazonas State University and the Amazonas State Research Support Foundation.",science
Study on French postmen's testicles wins Ig Nobel Prize,"Roger Mieusset has been honoured with an Ig Nobel Prize for his study conducted on French postmen to find out if a man's testicles are both the same temperature. The engineering prize went to an Iranian inventor's nappy-changing machine, while the peace prize went to a study that mapped out which parts of the body are most pleasurable to scratch.",science
Human corpses move significantly for over a year after death: Study,"A recently published study, where movements of a human corpse were studied and photographed over 17 months, claimed that the body moves significantly for over a year after death. In one case study, arms initially close to body ended up flung out to the side. The lead researcher attributed this to decomposition as the body ""mummifies"" and ""ligaments dry out"".",science
Burj Khalifa-sized asteroid among 2 to pass by Earth soon: NASA,"Two medium-sized near-Earth objects (NEOs), including one asteroid nearly as long as Earth's tallest building Burj Khalifa, are set to safely fly by Earth, NASA said. The two bodies will pass by on September 14 and 15, as per Indian time. NASA added it's tracking the objects but orbit calculations ruled out any chance that they could pose a threat.",science
ISRO will surely try to fix Moon lander issue: Serge Haroche,"French scientist Serge Haroche on Wednesday said, ""I don't know what happened with [Moon lander Vikram] but [ISRO] will certainly try to solve the problem."" On the sidelines of 'Nobel Prize Series India 2019' event in Mohali, the 2012 Physics Nobel Prize winner said science is something where you're going in the unknown. ""Sometimes you have bad surprises,"" he added.",science
"Acupuncturist puts needles too deep, punctures patient's lungs","A New Zealand-based acupuncture practitioner has been reprimanded by the New Zealand Health and Disability Commissioner (HDC) after puncturing the lungs of a patient while performing an acupuncture procedure. The patient, who was told by the practitioner to rest-off the pain, was taken to an emergency room by her husband where she was diagnosed with collapsed lungs.",science
NASA attempts to establish contact with Vikram lander: Report,"NASA attempting to establish contact with Chandrayaan-2 mission's Moon lander Vikram by sending communication signals with its Deep Space Network, a report said on Thursday. NASA's Jet Propulsion Laboratory had beamed a radio frequency to Vikram to establish contact, the report added. Chandrayaan-2's Vikram lander made a hard landing on the Moon on September 7.",science
Water vapour found on 'super-Earth' in habitable zone in a first,"NASA's Hubble Space Telescope has helped astronomers find evidence of water vapour on a 'super-Earth' exoplanet in its star's ""habitable zone"" for the first time. The planet, K2-18b, is around 110 light-years away with temperatures neither too hot nor too cold which can support the presence of liquid water. However, scientists said it likely has a very high-pressure atmosphere.",science
Russia terminates its 1st humanoid robot to space Fedor,"Russia has terminated its first life-sized humanoid robot to space, Fedor (Final Experimental Demonstration Object Research). Fedor was launched on August 22 aboard a Soyuz MS-14 spacecraft, which docked successfully with the International Space Station (ISS) five days later. ""There's nothing more for him to do [in ISS], he's completed his mission,"" the robot developer's executive director said.",science
Contact with Vikram lander looks less & less probable: ISRO official,"An ISRO official has said that establishing contact with Chandrayaan-2's Vikram lander looks ""less and less probable"". ""With every passing minute, the situation becomes worse only,"" the official added. Another ISRO official said that hard-landing of Vikram lander has made the task of establishing contact with it much difficult as it may not have the ""right orientation to receive signals"".",science
MIT researchers create programmable ink to let objects change colours,"Researchers at MIT have developed a new programmable ink that lets objects change colours when exposed to ultraviolet light. The 'PhotoChromeleon Ink' uses a mix of photochromic dyes that can be sprayed or painted onto the surface of any object, including shoes, cars or phone cases. The process can take about 15-40 minutes, depending on the shape of the object.",science
Scientists create colour-changing smart skin inspired by chameleons,"Scientists have created a flexible smart skin that can change colour in response to the environment without changing shape. It was created by studying time-lapse videos of chameleons' phase-shifting skin and experiment with embedding photonic crystal arrays into flexible, water-containing polymers. Expanding or contracting the hydrogel changed the spacing in the arrays, leading to colour change.

",science
Mars may have had oceans due to thick atmosphere like Earth: NASA,NASA scientists said that Mars might have had vast oceans and a thick atmosphere that could retain heat like Earth billions of years ago. Dry riverbeds and minerals that only form with liquid water showed that the atmosphere was thick enough to trap heat required for water. NASA is using isotopes of oxygen to assess the amount of atmosphere lost.,science
Engineers develop 'blackest black' material to date,"MIT engineers reported that they have created a material that is 10 times blacker than anything that has previously been reported. The material, which has been made from vertically aligned carbon nanotubes, captures more than 99.96% of any incoming light. The material can be used to make optical instruments that reduce unwanted glare, which could be used in space telescopes.",science
New cancer treatment prevents hair loss from chemotherapy,Researchers at The University of Manchester claim to have found a way to prevent hair loss in cancer patients during chemotherapy. Researchers found that coating the hair follicles with CDK4/6 inhibitors may prevent hair loss. Researchers have claimed that as many as 8% of patients may refuse chemotherapy due to the 'psychological burden' of hair loss.,science
Astronauts make cement in space for the first time,"For the first time ever, astronauts made cement in space as part of a project studying the effects of microgravity. The project, called the Microgravity Investigation of Cement Solidification, was conducted aboard the ISS. The cement mixed in space was found to have more open spaces as compared to cement mixed on Earth, pointing towards the former's lower material strength.",science
World's first malaria vaccine to be introduced in Kenya,"The world's first malaria vaccine is being rolled out in parts of Kenya after debuting in Ghana and Malawi earlier this year. More than 300,000 children are expected to receive the vaccine over the next three years. Malaria infected about 219 million people in 2017, killing around 435,000 of them, most of them babies and children in parts of Africa.",science
Environmental pollution in China in decline: Study,"According to a new international research study, environmental pollution in China as a whole has begun to decline. The study also shows that China has improved in 12 of the 17 Sustainable Development Goals (SDGs) during the last 40 years. Researchers studied statistics for economic growth, environmental conditions, regional differences, and social inequality, among other factors.",science
$1.8 tn investment needed globally for climate change: Report,"The Global Commission on Adaptation on Tuesday suggested in a report that the world would need to invest $1.8 trillion by 2030 to prepare for the effects of global warming. It added that the investment, if made in five areas of climate adaptation, could yield $7.1 trillion in net benefits. The Commission includes Bill Gates and ex-UN chief Ban Ki-moon. ",science
Over 3 animal species in India have gone extinct: Researchers,"Three species of animals, namely the Indian Cheetah, the pink-headed duck and the Great Indian Bustard, have become extinct due to desertification in India, researchers have revealed. ""[Y]ou'll realise how much changes have occurred because of the impact of deforestation and desertification,"" Kailash Chandra, Director of the Zoological Survey of India, stated.",science
Tasmanian farmer jailed for 11 months for importing garlic,"Letetia Anne Ware, a Tasmanian farmer, has been given an 11-month jail sentence for illegally importing garlic bulbs that could have put Australia's agricultural sector at risk. The 53-year-old imported almost 2,200 garlic bulbs from the US and Canada. The varieties of garlic were potential carriers of Xylella fastidiosa, a bacterium rated as a big threat to plant biosecurity.",science
"Tesla driver from 2018 crash was eating, had Autopilot on: US agency","US government investigative agency NTSB's preliminary report on the 2018 crash involving a 2014 Tesla Model S and a fire truck claimed that the car was in Autopilot mode. Autopilot was engaged continuously for the final 13 minutes 48 seconds before the collision, NTSB said. ""I was having a coffee and a bagel,"" the car's driver also told the NTSB.",automobile
Video shows Tesla driver asleep in moving car; Tesla calls it a prank,"A video posted by a US man shows the driver of a Tesla car sleeping as the car speeds along a highway. Responding to the video, a Tesla spokesperson said, ""Many of these videos appear to be dangerous pranks or hoaxes. Our driver-monitoring system repeatedly reminds drivers to remain engaged and prohibits the use of Autopilot when warnings are ignored.""",automobile
Ashok Leyland plants to see non-working days in Sept amid weak demand,"Ashok Leyland on Monday announced non-working days at its various manufacturing facilities during September 2019 following continued weak demand for its products. Last month, TVS Group, Sundaram Clayton, Maruti Suzuki and Hero MotoCorp had announced a suspension of production at their facilities. Tata Motors and Mahindra & Mahindra also said they're suspending manufacturing amid weak demand.",automobile
"Maruti to stop production at Gurugram, Manesar plants for 2 days","India's largest carmaker Maruti Suzuki will not produce any passenger vehicles at its Gurugram and Manesar plants in Haryana on September 7 and 9. The company's installed manufacturing capacity at the two plants stands at around 15 lakh units per annum. The decision comes after Maruti reported a nearly 33% decline in sales at 1,06,413 units in August. ",automobile
"Gadkari admits to slowdown in auto sector, blames global economy","Transport Minister Nitin Gadkari has acknowledged that the automobile sector is going through a slowdown and claimed it's because of the global economy. Gadkari said he would urge Finance Minister Nirmala Sitharaman to temporarily reduce GST on automobiles. ""The slowdown has relation to employment potential as well as the country's growth. The FM is trying to find solutions,"" he added.",automobile
Modified Tesla Model S set record for fastest 4-door sedan: Musk,"Tesla Co-founder Elon Musk took to Twitter to reveal that a Model S equipped with ""Plaid powertrain"" has set a new record for the fastest four-door sedan. Tesla released the video a day after the tweet saying the Laguna Seca track was lapped in 1:36.555, a second faster than the past record. However, this may not be an official record.",automobile
"Maruti, Tata Motors urge parts suppliers to target zero defects","Maruti Suzuki and Tata Motors have urged auto component manufacturers to build capabilities by investing in research and development (R&D) and ensure zero defect products. ""Quality deserves much greater attention from the top managements at the suppliers,"" Maruti Suzuki CEO Kenichi Ayukawa said. Tata Motors CEO Guenter Butschek asked suppliers to take the ongoing crisis as a ""fitness project"".",automobile
KIA Motors to start exports through Chennai Port from September 20,"South Korean carmaker KIA Motors will begin exporting vehicles manufactured at its new Anantapur plant via the Chennai Port Trust. The first lot, which is expected to be shipped on September 20, will contain 500 vehicles and the volume will be increased gradually. KIA Motors India COO Jong Soo Kim said the company manufactured 6,000 cars in the first month.",automobile
Elon Musk trolls Porsche for calling its 1st electric car 'Turbo',"Electric carmaker Tesla's Co-founder and CEO Elon Musk took to Twitter to troll German luxury automaker Porsche for calling its first-ever electric car ""Turbo"". ""Um [Porsche], this word Turbo does not mean what you think it does,"" Musk wrote. Turbochargers, found in internal combustion engine vehicles which use fossil fuels, increase performance by pumping more compressed air into the engine.",automobile
"Ola, Uber may not be big factor in auto sector slowdown: Maruti","Maruti Suzuki Executive Director (Marketing and Sales) Shashank Srivastava has said Ola and Uber may not be a big factor in the current slowdown. He said that people in India still purchase cars with an ""aspirational aspect"". ""People may use...Ola and Uber to go to offices...but still they buy a vehicle for the weekend outings with the family,"" he said.",automobile
Porsche unveils its 1st electric car Taycan starting ₹1.08 crore,"German automaker Porsche has unveiled its first-ever all-electric sports car, the Taycan. The car was introduced in two high-performance versions, the 670-horsepower Taycan Turbo starting $150,900 (over ₹1.08 crore) and the 751-horsepower Taycan Turbo S starting $185,000 (over ₹1.3 crore). Porsche claimed the Turbo and Turbo S can drive about 450 km and 410 km on a single charge, respectively.",automobile
Money laundering case against Rolls-Royce by Enforcement Directorate,The Enforcement Directorate (ED) has registered a money laundering case against London-based engine-maker Rolls-Royce Plc and its subsidiary Rolls-Royce India Private Limited. A report quoting two officials said the case pertains to dubious payments in the form of commissions in return for contracts from three state-run Indian companies.,automobile
Fall in monthly passenger vehicle sales in Aug worst-ever since 1998,"India's monthly passenger vehicle sales recorded the steepest fall in August, as per Society of Indian Automobile Manufacturers' (SIAM) data released today. Passenger vehicle sales plunged 31.57% year-on-year to 1,96,524 units in August, falling for the 10th straight month, while passenger car sales fell 41.09% to 1,15,957 units. It's the worst-ever fall since SIAM began recording data in 1997-98.",automobile
Govt has no intention to ban petrol and diesel vehicles: Gadkari,"Addressing a gathering at the Society of Indian Automobile Manufacturers' (SIAM) annual convention, Road Transport and Highway Minister Nitin Gadkari said the Centre has no intention of putting a ban on petrol and diesel vehicles. Gadkari also highlighted that the automobile industry has contributed greatly to employment and exports in the country.",automobile
"China to exempt Tesla cars from auto tariffs, cost down by $13k","China's automotive regulatory body announced on Friday that it will exempt Tesla's electric vehicles from purchase tax in a bid to avoid any increased costs from tariffs in the US trade war. China currently levies a 10% purchase tax on the sale of each vehicle. The move could reduce the cost of buying a Tesla car by up to $13,957.82. ",automobile
Audi unveils AI:Trail quattro concept with drones as headlights,"Audi unveiled its new all-electric, all-terrain AI:Trail quattro concept at the 2019 Frankfurt Motor Show which has drones as headlights called 'Audi Light Pathfinders'. The vehicle will have a total of five rotorless, triangular, electrically-operated drones with integrated matrix LED elements that can fly around the vehicle, shining light on the path ahead as well as recording videos. ",automobile
Govt to propose reducing GST rate on automobiles: Sitharaman,"Finance Minister Nirmala Sitharaman said the government will take the proposal to cut Goods and Services Tax (GST) rate on automobiles to the GST Council. Currently, automobiles come under the highest GST slab of 28%. This comes amid an automotive market slowdown with automakers like Maruti Suzuki India, Mahindra & Mahindra and Tata Motors reporting double-digit slump in August sales.",automobile
"Mahindra & Mahindra's August sales fall 25% to 36,085 units","Automaker Mahindra & Mahindra (M&M) has reported a 25% decline in its August sales at 36,085 units compared to 48,324 units in the corresponding month last year. It attributed the decline to the recent slowdown in the automotive industry. The automaker's monthly passenger vehicles sales fell 32% year-on-year to 13,507 units, while commercial vehicle sales declined 28% to 14,684 units.",automobile
"M&M to likely defer ₹1,000 cr capex plan on market slowdown","Mahindra & Mahindra (M&M) will likely defer its capital expenditure plan of around ₹800-₹1,000 crore by a year amid the automotive sector slowdown, the automaker's MD Pawan Goenka said. He added there'll be a slowdown in M&M's capacity investment. M&M, which suspended production across plants in August on low demand, may have to do so again in October, Goenka said. ",automobile
VW Group to correct fuel economy on 98K cars; to cost $96.5 mn,"The owners of Volkswagen Group on Friday reached an agreement with the US Environmental Protection Agency for the carmaker to correct fuel economy labels on about 98,000 vehicles. The faulty equipment is due to cost Volkswagen about $96.5 million. VW admitted in 2015 that up to 11 million cars had been fitted with software designed to deceive emissions testers.",automobile
Jaguar Land Rover sales decline by 6.7% in August,"UK-based automaker Jaguar Land Rover (JLR), the luxury car unit of Tata Motors, has reported a 6.7% decline in its August retail sales at 34,176 units compared to August 2018. While Jaguar sales fell 17.8% year-on-year to 9,702 units, the sales of Land Rover declined marginally by 1.4% to 24,474 units. However, JLR's retail sales in China grew 17.4% year-on-year.",automobile
Nissan CEO Hiroto Saikawa to step down on September 16,"Nissan CEO Hiroto Saikawa will step down on September 16 and will temporarily be replaced by COO Yasuhiro Yamauchi, the Japanese automaker's board announced on Monday. This comes after Saikawa admitted to an internal probe's findings that he and other executives were overpaid in a stock-related payment program but has denied wrongdoing. He had reportedly received $440,000 in excess compensation.",automobile
"Nissan CEO admits receiving excess pay, denies wrongdoing","Japanese automaker Nissan's CEO Hiroto Saikawa has admitted to being overpaid at the firm but denied any wrongdoing, adding he would return the excess amount. An internal Nissan probe reportedly found Saikawa and other executives had received improper compensations.  He said the overpayments were made in a scheme created under ousted Chairman Carlos Ghosn who was arrested for financial misconduct.",automobile
Maruti Suzuki India sales decline 33% in August ,"India's largest automaker Maruti Suzuki on Sunday announced its total sales declined nearly 33% in August to 1.06 lakh units from 1.58 lakh units in the year-ago period. Its domestic passenger vehicle sales fell 36.1% year-on-year to 93,173 units. The sales of the automaker's 'mini' segment, comprising Alto and old WagonR, declined 71.8% year-on-year in August to 10,123 units.",automobile
Porsche hikes stake in electric car startup Rimac Automobili,"German automobile manufacturer Porsche has increased its stake in Croatian electric sports car and electromobility components startup Rimac Automobili to 15.5%. In June 2018, the German sports car maker had purchased a 10% stake in Rimac for an undisclosed amount. ""We intend to intensify our collaboration in the field of battery technology,"" Porsche said.",automobile
